label,text
1,"France with a huge influx of Muslim immigrants and Muslim-controlled “no-go” zones in Paris and elsewhere, mirrored by Germany , with a similar problem brought on by Merkel's inexplicable open-border policies toward Arab refugees created a serious problem https:// thehill.com/opinion/nation al-security/473610-trump-is-right-to-shake-up-nato …"
0,"What happened to age-old adage "
0,"1. Thanks a million, Sadashiv. I want to understand: PLEASE explain with few words why you support CAB /NRC? You are Hindi I guess and I know a lot about the Muslem conflict since centuries. Illegal immigrants and refugees are a never-ending problem in Germany too. >see 2."
0,"#wcw My wife, Heidi, visiting my son, Andrew, who is eager to build a career helping refugees and immigrants . Andrew is currently in Cologne, Germany completing a year long fellowship: The Congress-Bundestag Youth Exchange for Young Professionals (CBYX). pic.twitter.com/O1UqTYUE2j"
1,"Exactly, same question was asked when Germany opened its doors to Syrian refugees , what’s the metric to check if the person was a refugee or immigrant . Similarly are they asking people to drop their pants to prove their religion ???? Disgraceful"
1,"i wish our allies, canada, mexico, france, germany , UK, etc would deny @realDonaldTrump state visits until he changes his treatment of refugees and immigrants"
1,"Tolerance4religious pluralism is a very lofty policy on the face of it,provided no community dominates&terrorise others. European nations-France, Germany &UK gave shelter to Muslim refugees & immigrants fromMid-East&now they too r hit by terrorism throughJihadis!"
1,"Why Germany the Most Refugee welcoming Country is closing gates suddenly After New years ave of sexual abuses on women, thefts, crime rates increased, etc People believe its all because of islamic immigrants and misguided secularism Watch documentary https:// youtu.be/qm5SYxRXHsI"
1,"I agree with that let’s start with Britain France Germany and Sweden there citizens there are now becoming the real refugees they’re being Murdered raped stabbed bombed and and kicked out of own homesby the immigrants by all means let’s welcome I’m here it’s time to save America https:// twitter.com/DavidWaddell5/ status/1203867675241467905 …"
0,"Justice For Immigrant & Refugee Over The World Mrs. Angela Merkel & German Government Please Give Back My Son:Shahrokh You Have Stolen Him From The School & Keep Him As Hostag?!?! Because;I Said"
1,"England's liberals brought this on themselves. Gangs in England, France, Germany , Belgium, Sweden, Norway, Italy all thanks to bleeding heart liberals. On the other hand, not one refugee or illegal immigrant in Poland and guess what? They have no problems! https:// twitter.com/JakeDenver6/st atus/1203513096058204160 …"
1,"i guess no one finds in interesting that the recent anti jewish rise is directly linked with the huge influx of muslim refugees / immigrants that merkel let into germany . idiots"
1,"But Bannon is manipulating those people into supporting fascist parties like the AFD in Germany and the National Front in France. People are right to be angry, but often they’re directing their anger at the wrong people like refugees and immigrants . It’s reminiscent of the 1930s"
1,"Except our country is doing great...note the riots/strikes in France and Hong Kong...note the US flags and anthem in Hong Kong... Germany is over run with immigrants / refugees that are terrorizing the citizens. Things are far worse in other countries."
1,"Japan doesn’t accept refugees but accepts over 200000 immigrants per year. It is the fourth largest immigrants in the world after the UK,US, Germany . Immigrants are actually like refugees because many of them are simple workers from Southeast Asia"
1,"As Indians we don’t have appetite to take care of our people to provide food clothing shelter to poor! Why do we even bother about refugees , illegal immigrants and citizens from outside countries. Norway, Sweden, Germany are screwed up taking refugees"
1,"True.. but today need of the hour is that country should choose refugees and legal immigrants based on religion. Ill effects of multiculturalism is seen in Sweden, Germany , France, UK."
1,"That year, I spent a few months as a student fellow with @pulitzercenter in Berlin researching how educational opportunities affect Germany 's Turkish community. Much of the problems facing 2nd and 3rd gen immigrants can be directly applied to refugee education."
0,"Try being a moslem refugee in a moslem majority country. I am certain that most moslem immigrants in Germany or Denmark are delighted to be here."
1,"We already have far more immigrants than Germany . Hardly any of these are refugees , if they were they'd have gone to nearest country & to Muslim country. They're economic migrants & Islamic colonists. #KeepThemOut #SendThemBack"
0,"Germany 's anti- immigrant AfD rejects shift further right via @dwnews https:// p.dw.com/p/3U0l3?maca=e n-Twitter-sharing … #Germany #politics #PoliticalParties #voters #extremism #refugees #migration"
1,"Then the country gets back to its family roots and safe communities. If the liberals (left) get the power we will look like Germany and England who are overwhelmed by immigrants and refugees"
1,"Why are the German people allowing this dictator Merkel to ruin their beautiful country? Unbridled refugee immigration, funding mosque construction, now limiting only Christian immigrants !!! Taking too much advice from Obama! #Germany https:// twitter.com/OmahaSpeak/sta tus/1200979876565716992 …"
0,"what exactly do you mean with "
1,"Definitely not true. Poland didnt let in refugees , contrary to Germany . Immigrants to Poland are poeple searching for job, not asylum seekers who just werent let in by the gov."
1,"Open boarders,how's that working in Hungary, Germany , and Britain,where you got your BS pushed through,leave AMERICA alone,where you force your money on people it turns the countries into refugee havens of crime and takeover by illegal,unwanted immigrants ,you are a Richard Noggin https:// twitter.com/BreitbartNews/ status/1200784098496831507 …"
0,"This look at Americans' attitudes in 1936 and 1937 towards Jewish refugees from Germany , also reminds - uncomfortably - of the current Administration's policies toward immigrants , and the attitudes of many Americans today towards refugees , including asylum-seekers. pic.twitter.com/fYZDiVnqc7"
1,"Building mosques is the WORST thing Germany could do for these immIgrants / refugees . The mosques will preach hate and return those whom attend to cavemen like mentality. #deutschlandspricht"
0,"Immigrant and refugee here on one side it was back in 1630 from Cranbrook England looking for a chance to have a better life, the other 1930s fleeing Nazi persecution in Germany #Familyofimmigrants"
0,"A must-read report by @SyriaDirect on the activities of the Syrian Mukhabarat against Syrian refugees in #Germany . “the regime’s policy of spying on old immigrants and recent refugees with the help of other refugees , [similarly] increases their fears” https:// syriadirect.org/news/nowhere-t o-run-syrian-refugees-face-damascus%e2%80%99-security-apparatus-in-the-eu/#.Xd_Bn9416TY.twitter …"
1,"It is on record that Merkel invited them to come to Germany . I wouldn't of let any of them as they were not refugees they were economic migrants and illegal immigrants masquerading as refugees . Goodnight old son."
1,"The breaking point poster that Farage stood in front of was spot on as it depicted some of the million illegal immigrants who were mainly young fighting age men from African and middle Eastern countries masquerading as refugees that Merkel invited onto Germany unvetted."
0,"Conservatives love to talk about 'legal immigration' when America originally allowed immigrants to just show up at Ellis Island, even stowaways. The concept of 'legal immigration' was invented in the 1930s to turn away Jewish refugees fleeing Nazi Germany . #AbolishICE"
0,"From which country did almost 240,000 war refugees come to Denmark from around the end of World War II? Germany Spain Russia World War II was 75 years ago. That's 3 generations. So unless you think that a 3th generation immigrant isn't Danish, this question is irrelevant!"
1,"heh, that's hilarious because those high immigrant crime statistics everyone loves to cite about germany are, well, * immigrant * crime, not refugee crime statistics, in which immigrants from croatia, albania and other balkan countries actually account for most of the violent crime"
1,"Germany has 2 million Syrian refugees / immigrants yet it is UK suffering terrorist attacks :|"
1,"Angela Merkel Why your government are lying, that; you are supporter of asylum & refugees & Immigrant ?! Exactly all of you are Anti- immigrant & the others I live in Germany for 4 years all of the Germans & the Germany gvernment are anti- immigrant & asylum !? pic.twitter.com/FtUZWRNKsc"
0,"Interesting speech by Dr. Franciscan Hagedorn, German Deputy Head of Mission on How Germany became a Immigration country! “ backlash against immigrants and refugees is real!” She said. pic.twitter.com/LBIiZG2xdx"
1,"And if everyone of immigrant or refugee heritage were simply sent back to one of the countries of their ancestors. I'll be Germany would reject a trump/drumpf again. Their win would be Scotland's loss. Make USA ALL Native Americans again!"
0,"In the minds of Trump and his cult-like base, Germany & too many of our traditional European allies have muddied themselves & their cultures with immigrants and refugees . They’re tainted. Mud people, if you will."
0,"In The Netherlands between 50% and 70% of non western immigrants and refugees will never work and are on benefits. Same in Germany . I expect it will also be so in de UK."
0,"Henry Kissinger and Madeleine Albright were brought here as kids as refugees from Nazi Germany , Jack. Like more recent immigrants you condemn so callously, they are here because they love the USA"
0,"Did You Know? In 1956 All Peoples Church became a host for a refugee family from Germany - Mrs. Ericka Wehrberg & her 4 children. Today that heart is demonstrated in our partnership with CARECEN. We host immigrant ’s rights workshops, assistance with DACA renewals, and U –Visas. pic.twitter.com/uAEVjQOPVF"
1,"Countries must have a limit to the amount of immigrants / refugees they take in. Look at Germany ..a hellhole now. Christians in the USA would welcome actually refugees like Syrian Christians..rather than Islamic Invaders or Mexican mafias"
1,"My father was an refugee immigrant to US in 1950 after surviving Bergen Belsen. He joined the Army and served in Germany during the post war occupation. You have something else to say to me?"
1,"Germany has said that a 90% increase in violent crime is due to immigrants ! What are OUR figures ? How do we separate asylum seekers from refugees and economic immigrants ? Why do they get priorities in housing, health and Benefits ? So many questions with very few answers."
1,"Disgusting to think we are a tiny island compared to say France, Germany etc, is it the reason why immigrants / refugees cross the whole of europe to get to Britain we obviously are to quick to put hands into the taxpayers pocket. No doubt I'll get some backlash from my opinion"
0,"Bavaria is Germany ’s most conservative and anti- immigrant state. For refugees here, safety comes with many restrictions. https://www. thenewhumanitarian.org/news-feature/2 019/11/11/German-refugee-integration-policy?utm_source=twitter&utm_medium=social&utm_campaign=social …"
1,"Woooooow. Incredible sad. My mom came here from Germany and always held a Green Card. Talked about dual citizenship (when it was offered), but never became a US citizen. I wouldn’t be here without the US accepting immigrants . Refugees are in special need! https:// twitter.com/crampell/statu s/1197335429827178496 …"
0,"Um. Not Superman. Just f’rinstance. (If anyone’s wondering: Superman is a refugee immigrant who escaped genocide, created by a refugee immigrant who escaped Hitler’s Germany ."
0,"Sondland invoked his parents, Jews who fled Nazi Germany as refugees . Worth noting that he worked with Jared Kushner, grandson of Holocaust survivors, and Stephen Miller, descendant of Jewish immigrants , to limit immigration to the United States. https://www. washingtonpost.com/world/national -security/besieged-on-all-sides-gordon-sondland-clings-to-power/2019/11/14/a183903a-04f7-11ea-a5e2-fccc16fa3576_story.html …"
1,"There was nothing racist about that breaking point poster as it depicted some of the million illegal immigrants and economic migrants masquerading as refugees that mental Merkel had invited unvetted into Germany . They were all young men from African and middle Eastern countries"
1,"There was nothing racist about that poster as it was spot on as it depicted some of the million illegal immigrants and economic migrants from African and middle Eastern countries masquerading as refugees going to Germany after mental Merkel had invited them into Germany unvetted."
1,"What about Ashkenazi Jews? And why does the Media, and the same American government that proclaims this about Israel, say that England & Germany are nations of immigrants , and real English & German ppl don’t have a right to not be invaded by migrants, refugees , etc.? HAH? https:// twitter.com/gidonsaar/stat us/1196516557918277632 …"
1,"I don’t know which historians told u that. I met my dad mostly in Swaziland, otherwise SA’s were in Botswana, Mozambique, Lesotho, Tanzania otherwise UK, rarely Germany not Naigeria. Better them they were refugees , what are Naigerians in SA, illegal immigrants ."
0,"Euro-Union nation's Muslim immigrant / Refugees becoming a threat to Jewish residents like Hitler's Nazi did in Germany ... https:// twitter.com/israel_advocac y/status/1196171923643875329 …"
0,"Bavaria is Germany ’s most conservative and anti- immigrant state. For refugees here, safety comes with many restrictions. https://www. thenewhumanitarian.org/news-feature/2 019/11/11/German-refugee-integration-policy?utm_source=twitter&utm_medium=social&utm_campaign=social …"
0,"Colleagues from Jena found out that there is no correlation between the share of immigrants in Thuringia and the vote for AfD. Of course not, as a lot of immigrants in East Germany live in homes for refugees and don't take part in the everyday life of east Germans"
0,"Members of parliament from the anti- immigrant Alternative for Germany party want to visit #Syria to show that it's safe for #refugees to return. But is it really? http:// ow.ly/z6he50xcd5i"
1,"So he's agreeing that all the EU countries are sovereign states with their own languages and cultures. Is that right? And he's agreeing that Germany , despite being home to very many refugees , foreign immigrants and foreign EU citizens retains its essential German characteristics."
0,"#Germany 's Federal Court of Justice ruled that #asylumseekers asked by people smugglers to look after other asylum seekers have also committed a crime, even if they were not given any financial benefit / #immigration #asylum #immigrants #refugees https://www. dw.com/en/refugee-cha perones-are-accessories-to-traffickers-german-court-rules/a-51258847 …"
0,"The number of illegal immigrants ranged from 3.9 million to 4.8 million. #Europe #Immigrants #Refugees #UK #Germany #world #PoliticsLive #BREAKING https:// eukaaz.blog/2019/11/14/ref ugee-boat-rescues-mediterannean-europe/ …"
0,"Bavaria is Germany ’s most conservative and anti- immigrant state. For refugees here, safety comes with many restrictions. https://www. thenewhumanitarian.org/news-feature/2 019/11/11/German-refugee-integration-policy?utm_source=twitter&utm_medium=social&utm_campaign=social …"
0,"We are also sad that you ae leaving Germany , a country which has neo-Nazis in its parliament (AfD), frequent anti- immigrant riots and refugee hostels being burnt down in the last few years. https:// twitter.com/RichardDawkins /status/1194353093388800000 …"
1,"Thee EU as a whole is welcoming of refugees . Germany took in a million. But certain countries like Poland, Italy, Hungary and the UK are not. In the case of the UK i blame Labour for this as they have joined the right demonising of immigrants , hopefully that is changing."
1,"No eurozone country is safe for refugees Immigrants have been beaten by police in Belgium, France, Spain, Germany and Croatia Amnesty criticises the EU for being complicit Until the EU protects human rights, migrants will die getting the England https://www. amnesty.org/en/latest/news /2019/03/croatia-eu-complicit-in-violence-and-abuse-by-police-against-refugees-and-migrants/ … https:// twitter.com/smartnotstupid /status/1194555091765923840 …"
1,"So you don't think that the people that left Ireland after the potato famine and moved here were immigrants ? What about the people that fled Germany and the surrounding area during the two world wars? Give me a definition of refugee that doesn't include immigrant ."
0,"Bavaria is Germany ’s most conservative and anti- immigrant state. For refugees here, safety comes with many restrictions. https://www. thenewhumanitarian.org/news-feature/2 019/11/11/German-refugee-integration-policy?utm_source=twitter&utm_medium=social&utm_campaign=social …"
0,"u mean the british betrayed the jews by publishing the White papers flooding the holy land w arab immigrants while sending boats of jewish refugees back to germany"
0,"Germany , Holland, Austria, France the far right in frighteningly on the increase. Poland along with other Eastern EU countries will not take and refugees / immigrants"
0,"Happy to attend #WIC2019 @WiCVienna and to present 2 posters on 2 ongoing researches about immigrants ' wellbeing. The first is a research in cooperation with Hans Dietrich @iab_news dealing with wellbeing of recent waves of refugees in Germany . We compare wellbeing of refugees"
0,"RIP Gert Boyle - Columbia Sportswear A story of courage, grit and inspiration - Gert Boyle, Chairwoman of Columbia Sportswear Company died on Nov 3rd. An “unintended entrepreneur”, an immigrant Jewish refugee from Germany , house wife, she took... https:// tmblr.co/Z4iXby2l_Jf0J"
1,"Then , nobody imagined Germany could be invaded by thousands of Muslim immigrants under refugee programs. Those who begged for a shelter ,soon become wolves predating native population. @Queen_Europe @EmmanuelMacron @JustinTrudeau @matteosalvinimi @V_of_Europe @Newsweek @VP"
0,"#SΔD3VΔNZ3LO 09.XI.2019 #Τείχος_Βερολίνου #years30 #Berlin #wall #Aegean #refugee #immigrants #people #CCCR #Germany #East #USA #Russia #USSR #Borders #Deutschland #Βερολίνο #Αιγαίο #sea #Mediterranean #αποστολέας #παραλήπτης #sender #recipient #SDXZV https://www. instagram.com/p/B4o72Isnno5/ ?igshid=1lcxjga3rkvph … pic.twitter.com/UtFCfaeemJ"
0,"also mentioned, the arson archive - a record of arson attacks against refugee and immigrant accommodations in Germany between 1990 and 2018 https://www. arsonarchive.com / #communicationdesign pic.twitter.com/0GbvdHkdds"
1,"So this guy simultaneously thinks it's great that Merkel invited so many refugees to Germany , but also doesn't trust Germans to not genocide them?! If you honestly believed that Europeans are going to genocide immigrants , surely you would support zero immigration to Europe. https:// twitter.com/itaintwhiteboy /status/1192964545624625153 …"
1,"Meanwhile, back in his lair in Gotham, the Joker ( Bernie Sanders) wants to set a MINIMUM #of refugees -“CLIMATE REFUGEES - for the US! When FRANCE & Germany are imposing limits on immigrants , and Bernie wants to INCREASE, you KNOW he’s a CRIMINAL! https:// fxn.ws/2Q3Vfr5 #FoxNews"
1,"Those people were not syrian refuges they were economic migrants from African and middle Eastern countries masquerading as refugees taking advantage of Merkel invited in one million unvetted immigrants into Germany and many of them would of tried to come to soft touch Britain."
1,"Because it depicted some of the million illegal immigrants masquerading as refugees that mental Merkel had invited into Germany unvetted and many of them would of been intent on trying to come to soft touch Britain."
1,"Wow. The Federal Ministry of the Interior told an AfD faction leader that as of 2017, 30% or more of all “ refugees ” to Germany would come by plane on flights specially designated to bring “ immigrants ” directly into Germany . https:// twitter.com/Red666Ranger/s tatus/1192696049560932352 …"
1,"Half the Jewish immigrants into Israel in the 30s & 40s were refugees fleeing Germany . You would have denied them entry."
1,"It was spot on as it depicted some of the million illegal immigrants masquerading as refugees that mental Merkel had invited into Germany unvetted and once there many of them would try and make it to soft touch Britain. The poster was awesome."
0,"EU, they're such kind people in France they should take in all the immigrants like Germany & are the VERY BEST people in the entire world. This is breaks my heart. These fucking assholes want Poland, Hungary, Czech Republic, Slovakia to take in more illegals& refugees . FUCK'EM https:// twitter.com/HM75015/status /1192287708108001282 …"
0,"It’s very easy to work out the best countries because every refugee or immigrant is trying to get there. Germany and United Kingdom!"
0,"I know who I am! My immigrant ancestors fled religious persecution in England and Germany before the US Revolutionary War, and I am a proud American with my arms open to immigrants and refugees like my ancestors who came here to be free! https:// twitter.com/taniapdx/statu s/1191716984943235073 …"
1,"They can't even blame immigrants for this one, with Germany taking in far more per capita in refugees and immigrants than the UK. pic.twitter.com/u6sxgrCPbO"
1,"If Germany 's government (not its people, from what I hear) really feel they need to bring more immigrants into the country, why don't they take genuine refugees who are languishing in refugee camps all over the Middle East? I don't get this, either. Fake news, perhaps?"
1,"Nope!!! First I’m not German I’m Arab and Muslim but what is happening to Germany is disgusting, the German people are being replaced by their government!!! Those what soo called “ refugees ” are economic immigrants they only come to Europe to destroy it!!"
1,"Would this be applied to refugees everywhere too? And to immigrants coming from the west or is this only bc the refugees are Arab? Them being male refugees don’t mean they rape bc I’m sure rape in Germany has existed before the rise of refugees"
1,"Great thread rethinking the status and trauma of Soviet Jewish immigrants to Germany —privileged among the refugees , yes, but all refugee privilege is relative. https:// twitter.com/lokshin/status /1190850072927490048 …"
1,"Can someone take @jeremycorbyn to one side and explain to him the difference between refugees and immigrants . And after that show him the recent press coming out of Germany where even Angela Merkel admits she has made a terrible, terrible mistake about immigration."
1,"same story as 1930 the westerns being the rich boys and taking east's toys, sending immigrant etc etc. While reality is that west germany took twice as many refugees and we still pay Solidarity Tax for the East since ironcurtain fell in 1990"
1,"Merkel has been a fair politician throughout Standing for national anthem is not a rule Germans teach their kids about Nazis to teach them and think for humanity Germany under Merkel has given the best of world facility to refugees AfD is pro-naxi, anti- immigrant party"
0,"Germany is taken over by immigrants and refugees Germans are angry with her and she is talking about sustainability here"
0,"Countless of expert have stated what has kept America First was a constant influx of new ideas with immigrants , & when the wealthy like Trump couldn’t buy government like today. Considering that White Power worked so well for Nazi Germany , prejudice of refugees is no difference."
1,"well actually theres many immigrants / refugees who do this in germany , mostly they send their kids to do it though. doesn’t make any of this less pathetic or unethical tho"
0,"After making a royal mess of syrian refugees & immigrants in Germany she comes & lectures India ... wow These western leaders never learn.. Knowing Modi he'll brush her suggestions aside n move on to other business... as he should.She has no clue how complex d Kashmir issue is"
1,"Rise in migrant workforce boosts wages for #Australian workers https://www. miragenews.com/rise-in-migran t-workforce-boosts-wages-for-australian-workers/ … #Africa #Aussie #Australia #CurtinUniversity #Economy #Education #English #Germany #Immigrants #Immigration #Migrants #Muslim #Professor #Refugees #Sweden #University pic.twitter.com/2bNiHGSMrV"
1,"Anne & Harry Rosenfeld, refugees from Nazi Germany who fled the Holocaust, accept @ualbany Citizen Laureate Award. Harry spoke in support of today’s refugees & immigrants being harassed & denied refuge by the Trump Admin. @nyswi @UAlbanyFund @ualbanyalumni pic.twitter.com/t2TtvL1oGW"
1,"God save Europe! 'Italian authorities have allowed the refugee aid ship Ocean Viking to enter the port of the Sicilian town of Pozzallo. As the Ministry of the Interior announced in Rome, 70 of the 104 immigrants from Germany and France are admitted.' https:// twitter.com/Junge_Freiheit /status/1189231893406986241 …"
1,"USA, Germany & Russia have the highest number of immigrants . GERMANY alone took 1.5 million Syrian refugees . Many people died crossing the Med into Europe. Not just the 39 poor souls in the back of a Lorry arriving in the UK."
1,"go after the criminals not 3yo refugees . Seize the drugs at our ports of entry. Kindly stop terrorizing immigrants - this is America, not Russia or Nazi Germany ."
0,"Our sincere gratitude to the @MaltaPolice for risking their lives every day to keep Malta Safe. We know what happened - and is currently happening - in Sweden, Germany , Italy, France, etc, where Illegal Immigrants get away with rapes, tortures murders, arson - the list is endless"
1,"The Berlin Wall prevented refugees from leaving East Berlin, to receive asylum in W Germany . The POTUS’ “wall” is supposed to stop immigrants from leaving Mexico, including those refugees from Central and S America who have a legal claim to asylum in the USA."
1,"Do you have more details? Was he a refugee or a legal immigrant in Germany ?"
1,"Are you aware that after they are granted refugee status they are entitled to travel documents and after that they get right to remain and then they can travel anywhere in the EU? Oh and we now have illegal immigrants coming on that Germany Italian and Switzerland don’t accept"
1,"I'm so happy @realDonaldTrump is protecting us from immigrants he makes America look worse than Germany during WW2 so no one wants to come here and if they do they get locked away in "
1,"WTAF is wrong with Germany ? Now they’re actually flying “ refugees ” from Africa to Germany . It’s not enough that Africa burps up millions of poor, illiterate, violent, useless waves of immigrants who illegally enter Europe now they’re facilitating it. https://www. breitbart.com/europe/2019/10 /26/un-flies-first-planeloads-of-somalis-syrians-germany-romania/ …"
1,"Well the frequency of brutal honour killings and brute violence hatchet attacks among the immigrant and refugee communities of Germany leave little to doubt."
1,"Refugees - illegal immigrants Economic migrants - illegal immigrants Stop the above and the problem is solved. Easiest way to stop it is have zero tolerance. Germany opened its doors and thousands died. Australia shut its doors and zero died"
1,"Yes, genuine refugees could populate one of the abandoned villages in #Bulgaria and build a new life for themselves. But most immigrants aren't genuine refugees and don't want to settle, but use Bulgaria to get into the wealthier countries like Germany . :-("
1,"You do not understand the context. She was giving a vote for full integration, still welcoming refugees and also immigrant from foreign states such as US - and she meant also these parallel societies in Germany around the US army areas."
0,"Just one thing... if Japan and Germany can get their shit straight after WW 2 why can’t the south? Especially after the wall came down, Germany was contrite and like I mean they have some rumblings like a lot of places in Europe not wanting refugees or immigrants but for the"
1,"That's an OLD article. They are still taking in a lot of refugees every year. It's tragic. There are more immigrant kids born than natives in many parts of Germany ."
1,"Watch the EU come to heel when a brexit alliance takes majority in parliament. No such thing as no deal. Its a #cleanbreakbrexit with £39b Germany officially went into recession. Remember this is for all of Irelands benefit. Leo is going to flood ROI with immigrants / refugees ."
1,"Germany and Austria are going to shit, sadly. Lots of SJWs, Immigrants and Socialists, etc. I don't have anything against immigrants , but with such a huge influx of refugees (with foreign culture and religion), you are guaranteed conflict and chaos, and of course bad people."
1,"If I tweet 3 news stories about Muslims raping people in Germany along with the message "
1,"Germany can't cope with the thousands of immigrants already there. This is crazy, irresponsible and insustainable. U.N. ‘ Refugee Resettlement’ flights from Africa begin landing in Germany - Voice of Europe https:// voiceofeurope.com/2019/10/u-n-re fugee-resettlement-flights-from-africa-begin-landing-in-germany/#.Xayr8HH7k6g.twitter …"
1,"Just in case it's true, what's with the poor migrants You want to force to immigrate to Germany ? What is Your opinion, why the Germans took in so many refugees from Syria? Why they take in now refugees / immigrants from africa?"
1,"If refugee plan was working Germany wouldn't have opened their job market to east European immigrants recently.(Ukraine) Why would they need them if they could just accept more refugees ? Hard working refugees ...."
1,"#Merkel would rather take surplus American trade dollars to buy #Russian gas and #Chinese export earnings to finance #Islamist “ refugees ” and illegal immigrants settlement in #Germany & #EU . She is a dangerously stupid person who is leading #Germany out of Western camp."
1,"Here in Lithuania, we have lots of refugee men and women from Ukraine, working and living just fine. All the immigrants from the near east left as soon as they could to Sweden or Germany ... Shows the difference between cultures..."
1,"As far as I'm aware, it would only affect refugees and illegal immigrants . But it is true that their goal (if they had the right to) would be to literally make Germany 100% German. Which would be impossible, considering people like me (born in Germany as a dual citizen) exist."
1,"Hungary doesn't generally have a problem with illegal immigration. They have no government assistance for refugees or immigrants . Most of them just pass right on through and head to Germany , France or Switzerland where they are taken care of by the tax payers"
0,"Ha, one minute you lot are complaining about Germany being so open to refugees & immigrants , next you're accusing them of being Fascists. The Fascists are the xenophobes riding high on their wave of WW2 based populism, and are much closer to home."
1,"Support for #refugees has not disappeared, says Prof. Dr. Heckmann, but Germany is split on the issue, with Germans describing new reservations over the country’s ability to fully serve a growing immigrant / refugee population #AICGSevents"
